"","rownames(abun)","Acidimicrobiia","Actinobacteria","Coriobacteriia","Thermoleophilia","Bacteroidia","Melainabacteria","Oxyphotobacteria","Deinococci","Campylobacteria","Bacilli","Clostridia","Negativicutes","Fusobacteriia","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Unassigned.Bacteria","Unassigned"
"1","f",0,0.00148183073451655,0,0,0,0,0,0,0.687889401542451,0.281749907385579,0,0,0,0.0270265719193076,0,0.000404135654868151,0.00104401710840939,0.000404135654868151
"2","lg",0,0,0,0,0,0,0,0,0.329827915869981,0.662523900573614,0,0,0,0.00478011472275335,0,0,0.00286806883365201,0
"3","pv",0,8.7867456822908e-05,0,0,0,0,0,0,0.0148886524061039,0.0504066310640749,0,0,0,0.00421763792749958,0,0.918507815322132,0.0116766087066887,0.00021478711667822
"4","sm",0,0,0,0,0,0,0,2.60145681581686e-05,0.135703136613646,0.845990040136762,0,0,0,0.000732124275308458,0,0.00266835141965215,0.0137579901887914,0.00112234279768099
"5","cs",0,2.19238547983097e-05,0,0,0,0,0,0,0.612758952697456,0.383535915841629,0,0,0,7.12525280945064e-05,0,0.00339271653003842,0.000120581201390703,9.86573465923935e-05
"6","f",0,4.7907659028693e-05,0,1.04147084844985e-06,3.64514796957447e-06,0,0,0,0.834634737947709,0.13367174192769,0,0,0,0.0307723391591477,0,0.000561873522738693,0.000110395909935684,0.000196317254932796
"7","lg",0,6.95594106926726e-05,0,0,0,0,0,0,0.162483827437014,0.832222701409274,0,0,0,0.000497349786452609,0,0.00152682906470416,0.000525173550729678,0.00267455934113326
"8","pv",0,8.40966723593645e-05,0,0,0,0,0,0,0.277225758595111,0.441343649191809,0,0,0,0.06840509582708,0,0.163736221083683,0.0487350997947179,0.000470078835239525
"9","sm",0,3.83877934898343e-05,0,0,0,0,0,0,0.00918882551535613,0.987429007837171,0,0,0,0.000418224908020826,0,0.00108091944826639,0.00039397998581672,0.001450654511879
"10","f",0,0.000684878401778099,0,0,0,0,0,0,0.232942651125527,0.756047605510041,0,6.4611169979066e-05,0,0.00651926705088776,0,0.00318533067996795,0.000432894838859742,0.000122761222960225
"11","lg",0,0,0,0,0,0,0,0,0.772693173293323,0.209677419354839,0,0,0,0.00150037509377344,0,0.0142535633908477,0.0018754688672168,0
"12","pv",0,0.00183298540554802,0,0,0,0,0,0,0.0152147046162534,0.765572275632866,0,0,0,0.000143491281747446,0,0.0544572557986678,0.161858165811119,0.000921121453798122
"13","sm",0,7.1331340018665e-05,0,0,0,0,0,0,0.0077691717836996,0.968293219361703,0,0,0,0.000540929328474877,0,0.00185461484048529,0.0183856528898109,0.00308508045580726
"14","cs",0,0.00976800976800977,0,0,0.0134310134310134,0,0.00284900284900285,0,0.639397639397639,0.266585266585267,0,0,0,0.0288970288970289,0.00529100529100529,0.0337810337810338,0,0
"15","f",0,0.00120530333467256,0,0,0,0,0,0,0.141507968394268,0.275344850676309,0,0,0,0.577656354627026,0,0.0013820811570912,0.000749966519351815,0.00215347529128164
"16","lg",0,0.000321026179167127,0,0,0,0,0,0,0.415849718325417,0.574295123163592,0,0,1.03556831989396e-05,0.0055195791450348,0,0.00106663536949078,0.00170178393902574,0.00123577819507346
"17","pv",0,0.0056439678427155,0,0,0.00140432585692764,0,0,0,0.0323261591243406,0.522369222154574,0.000106657660019821,0.00302196703389492,0.0090347926175123,0.0171629951248561,0,0.27345246401415,0.134917495855906,0.000559952715104058
"18","sm",0,0.000516306278568553,0,0,5.21043033417805e-05,0,0,0,0.00664093029865239,0.966037467730858,0,0,0,0.0178907230656277,0,0.00039315065248798,0.0066504038083509,0.00181891386211307
"19","f",0,0,0,0,0,0,0,0,0.637493526670119,0.030036250647333,0,0,0.00673226307612636,0.276540652511652,0,0.0491973070947695,0,0
"20","lg",0,4.63181687648797e-05,0,0,0,0,0,0,0.836443598365895,0.148769326255917,0,0,0,0.0108500310331731,0,0.00200326079908105,0.000886992931847447,0.0010004724453214
"21","pv",0,0.00049186778593914,0,0,0,0,0,0,0.312308718083246,0.393210038474991,0,0,0.00021860790486184,0.244655036726128,0,0.0216859041622945,0.0268341203217908,0.000595706540748513
"22","sm",0,0.000247086537861814,0,0,0,0,0,0,0.566449486395847,0.379875161325919,0,0,0,0.0198388899817204,0,0.000638106981274199,0.032377932053601,0.000573336723776442
"23","cs",0,0,0,0,0,0,0,0,0.933703920421299,0.030368636629608,0,0,0,0.0110590988882387,0,0.0235225277940316,0.0013458162668227,0
"24","f",1.55769002357953e-05,0.0180302620229331,0.00298687062021375,0,0,0,0,0,0.908372778587993,0.0565791958814676,0,0,0,0.00728804219782274,0,0.00531172298040621,0.000331009130010651,0.00108454167891725
"25","lg",0,0.000242269144554707,0.000157592550341411,0,0,0,0,0,0.988540434249801,0.00876637962869314,0,9.40851046814396e-06,1.176063808518e-05,0.000272846803576175,0,0.000461017012939054,0.000352819142555398,0.00118547231898614
"26","pv",0,0.0897404141484197,0.0192460120875855,0,0,0,0,0,0.382740513226989,0.359989596750223,0,0,0,0,0,0.0239522441295948,0.12414544733974,0.000185772317447736
"27","sm",0,0.046218487394958,0.0113445378151261,0,0,0,0,0,0.0588235294117647,0.878571428571429,0,0,0,0,0,0.00504201680672269,0,0
"28","cs",0,0.000514574567908708,0.000332960014529164,0,0,0,0,0,0.942761146593214,0.0374731361806459,0,0,0,0.00744619668856131,0,0.00923207313012683,0.00223991282501438,0
"29","f",0,0.0074222029806885,0.00283375314861461,0,0,0,0,0,0.942721452560873,0.0219681465155332,0,0,0,0.000636282535684299,0,0.0227028232577666,0.000127912468513854,0.00158742653232578
"30","lg",0,0.00214336692714371,0.000686422918342948,0,0,0,0,0,0.802428391542906,0.176942554129675,0,0,0,0.000640964446929508,0,0.0151013042035449,0.00107054700178652,0.000986448829671653
"31","pv",0,0.00564369109033785,0.000966935783273396,0,0.000385111959527227,8.31176891065957e-06,0.000113594175112347,0,0.0100877168679038,0.0346351410507184,0,0,0,0.000778535687965113,0,0.9333839427707,0.0136035951171128,0.000393423728437886
"32","sm",0,0.0119200534347223,0.00796596961756495,0,0,0,0,0,0.0152789909058213,0.943458956310264,0,0,0,0.00182825532206409,0,0.0098241963383514,0.0077711555258696,0.00195242254534244
"33","f",0,0.00492813141683778,0,0,0,0,0,0,0.539219712525667,0.344147843942505,0,0,0,0.0119096509240246,0,0.0804928131416838,0.0193018480492813,0
"34","lg",0,0.000161446561188247,6.45786244752987e-05,0,0,0,0,0,0.948186416962652,0.0455602195673232,0,0,0,0.00376708642772576,0,0.000462813475406307,0.00096867936712948,0.000828759014099666
"35","pv",0,0,0,0,0,0,0,0,0.0442132639791938,0.00650195058517555,0,0,0,0.507152145643693,0,0.442132639791938,0,0
"36","sm",0,0.000172368305338141,0,0,0,0,0,0,0.0135326708293026,0.976188549819717,0,3.16594846539442e-05,0,0.0065851728080204,0,0.00122768446046962,0.00220209304370768,5.98012487907836e-05
"37","f",0,0.0006421907880025,0,0,8.60076948217634e-06,0,0,0,0.680498615276113,0.274909261881963,4.58707705716071e-05,0,0,0.0377631118730756,0,0.00490243860484051,0.000235087699179487,0.00099482233677173
"38","lg",0,0,0,0,0,0,0,0,0.921068075117371,0.0783450704225352,0,0,0,0,0,0,0,0.000586854460093897
"39","sm",0,0.000336908304789713,0,0,0,0,0,0,0.0290302655960469,0.916446740412151,0,0.000393059688921332,0,0.000561513841316188,0,0.00196529844460666,0.0503677915660621,0.000898422146105902
"40","cs",0,1.10224173924929e-05,0,0,0,0,0,0,0.994365340228958,0.00351835563168372,0,0,0,8.81793391399428e-05,0,0.00047837291483419,0.000112428657403427,0.00142630081058858
"41","f",0,1.76277374407267e-05,0,0,0,0,0,0,0.969821313501476,0.0262241973993211,0,0,0,0.00206048664307161,0,0.000285961074038456,5.68004873090084e-05,0.00153361315734323
"42","lg",0,0,0,0,0,0,0,0,0.992379180460934,0.0013953870146926,0,0,0,0.00389066732331938,0,0.000651180606856549,0.000215236166972193,0.00146834842722555
"43","pv",0,0.000185206779940048,0,0,0,0,0,0,0.055637488596064,0.038296646385381,3.42975518407496e-05,0,0,0.117510272116776,0,0.712689408230041,0.0752556882489728,0.000390992090984546
"44","sm",0,7.69106014576231e-05,0,0,0,0,0,0,0.852562377005737,0.0485673728508921,9.86462062173861e-05,1.00318175814291e-05,0.00111687569073244,0.065138263525816,0,0.030732473160708,0.00122220977533745,0.000474839365520977
