sampleID,bird,sample,shannon
T15.f,T15,f,1.890635906
T15.lg,T15,lg,1.138533446
T15.pv,T15,pv,1.333637399
T15.sm,T15,sm,1.617939164
T32.cs,T32,cs,1.620027329
T32.f,T32,f,0.714609805
T32.lg,T32,lg,1.472369363
T32.pv,T32,pv,2.686955492
T32.sm,T32,sm,1.235993259
T35.f,T35,f,1.162330552
T35.lg,T35,lg,1.396476563
T35.pv,T35,pv,2.020521167
T35.sm,T35,sm,0.789925734
T37.cs,T37,cs,2.397501564
T37.f,T37,f,1.451651809
T37.lg,T37,lg,1.276905372
T37.pv,T37,pv,2.749397982
T37.sm,T37,sm,0.552779822
T38.f,T38,f,2.16460502
T38.lg,T38,lg,2.145974619
T38.pv,T38,pv,2.250645058
T38.sm,T38,sm,1.792877128
T39.cs,T39,cs,0.970445322
T39.f,T39,f,0.861263905
T39.lg,T39,lg,0.596542825
T39.pv,T39,pv,2.610648726
T39.sm,T39,sm,1.284464398
T4.cs,T4,cs,0.390448794
T4.f,T4,f,0.516664659
T4.lg,T4,lg,0.925801042
T4.pv,T4,pv,1.764923171
T4.sm,T4,sm,0.833804764
T44.f,T44,f,2.286403118
T44.lg,T44,lg,0.559725168
T44.sm,T44,sm,0.430723619
T6.f,T6,f,1.011814928
T6.lg,T6,lg,0.362813742
T6.sm,T6,sm,0.987157781
T8.cs,T8,cs,0.251860706
T8.f,T8,f,0.247714831
T8.lg,T8,lg,0.664483506
T8.pv,T8,pv,2.548700805
T8.sm,T8,sm,1.878671766
