SampleID	bird	BarcodeSequence	LinkerPrimerSequence	NucleicAcid	sample	location	year	Description
T15.f	T38	NNNNNNNN	AAAAAAAAAA	DNA	f	fecal	2016	gut_microbiome
T15.pv	T44	NNNNNNNN	AAAAAAAAAA	DNA	lg	large_int	2016	gut_microbiome
T15.sm	T39	NNNNNNNN	AAAAAAAAAA	DNA	pv	proventriculus	2016	gut_microbiome
T32.cs	T39	NNNNNNNN	AAAAAAAAAA	DNA	sm	small_int	2016	gut_microbiome
T32.f	T32	NNNNNNNN	AAAAAAAAAA	DNA	f	fecal	2016	gut_microbiome
T32.lg	T44	NNNNNNNN	AAAAAAAAAA	DNA	sm	small_int	2016	gut_microbiome
T32.pv	T15	NNNNNNNN	AAAAAAAAAA	DNA	sm	small_int	2016	gut_microbiome
T32.sm	T4	NNNNNNNN	AAAAAAAAAA	DNA	cs	cloacal_swab	2016	gut_microbiome
T35.f	T32	NNNNNNNN	AAAAAAAAAA	DNA	sm	small_int	2016	gut_microbiome
T35.lg	T8	NNNNNNNN	AAAAAAAAAA	DNA	sm	small_int	2016	gut_microbiome
T35.pv	T4	NNNNNNNN	AAAAAAAAAA	DNA	pv	proventriculus	2016	gut_microbiome
T35.sm	T44	NNNNNNNN	AAAAAAAAAA	DNA	pv	proventriculus	2016	gut_microbiome
T37.cs	T8	NNNNNNNN	AAAAAAAAAA	DNA	pv	proventriculus	2016	gut_microbiome
T37.f	T38	NNNNNNNN	AAAAAAAAAA	DNA	lg	large_int	2016	gut_microbiome
T37.lg	T37	NNNNNNNN	AAAAAAAAAA	DNA	lg	large_int	2016	gut_microbiome
T37.pv	T32	NNNNNNNN	AAAAAAAAAA	DNA	cs	cloacal_swab	2016	gut_microbiome
T37.sm	T38	NNNNNNNN	AAAAAAAAAA	DNA	sm	small_int	2016	gut_microbiome
T38.f	T6	NNNNNNNN	AAAAAAAAAA	DNA	sm	small_int	2016	gut_microbiome
T38.lg	T35	NNNNNNNN	AAAAAAAAAA	DNA	lg	large_int	2016	gut_microbiome
T38.pv	T37	NNNNNNNN	AAAAAAAAAA	DNA	pv	proventriculus	2016	gut_microbiome
T38.sm	T4	NNNNNNNN	AAAAAAAAAA	DNA	sm	small_int	2016	gut_microbiome
T39.cs	T4	NNNNNNNN	AAAAAAAAAA	DNA	lg	large_int	2016	gut_microbiome
T39.f	T15	NNNNNNNN	AAAAAAAAAA	DNA	pv	proventriculus	2016	gut_microbiome
T39.lg	T35	NNNNNNNN	AAAAAAAAAA	DNA	f	fecal	2016	gut_microbiome
T39.pv	T44	NNNNNNNN	AAAAAAAAAA	DNA	f	fecal	2016	gut_microbiome
T39.sm	T8	NNNNNNNN	AAAAAAAAAA	DNA	cs	cloacal_swab	2016	gut_microbiome
T4.cs	T39	NNNNNNNN	AAAAAAAAAA	DNA	lg	large_int	2016	gut_microbiome
T4.f	T4	NNNNNNNN	AAAAAAAAAA	DNA	f	fecal	2016	gut_microbiome
T4.lg	T39	NNNNNNNN	AAAAAAAAAA	DNA	cs	cloacal_swab	2016	gut_microbiome
T4.pv	T35	NNNNNNNN	AAAAAAAAAA	DNA	pv	proventriculus	2016	gut_microbiome
T4.sm	T35	NNNNNNNN	AAAAAAAAAA	DNA	sm	small_int	2016	gut_microbiome
T44.f	T6	NNNNNNNN	AAAAAAAAAA	DNA	lg	large_int	2016	gut_microbiome
T44.lg	T39	NNNNNNNN	AAAAAAAAAA	DNA	f	fecal	2016	gut_microbiome
T44.pv	T8	NNNNNNNN	AAAAAAAAAA	DNA	f	fecal	2016	gut_microbiome
T44.sm	T32	NNNNNNNN	AAAAAAAAAA	DNA	lg	large_int	2016	gut_microbiome
T6.f	T37	NNNNNNNN	AAAAAAAAAA	DNA	f	fecal	2016	gut_microbiome
T6.lg	T8	NNNNNNNN	AAAAAAAAAA	DNA	lg	large_int	2016	gut_microbiome
T6.sm	T6	NNNNNNNN	AAAAAAAAAA	DNA	f	fecal	2016	gut_microbiome
T8.cs	T38	NNNNNNNN	AAAAAAAAAA	DNA	pv	proventriculus	2016	gut_microbiome
T8.f	T32	NNNNNNNN	AAAAAAAAAA	DNA	pv	proventriculus	2016	gut_microbiome
T8.lg	T37	NNNNNNNN	AAAAAAAAAA	DNA	sm	small_int	2016	gut_microbiome
T8.pv	T15	NNNNNNNN	AAAAAAAAAA	DNA	f	fecal	2016	gut_microbiome
T8.sm	T37	NNNNNNNN	AAAAAAAAAA	DNA	cs	cloacal_swab	2016	gut_microbiome
