,T15.f,T15.lg,T15.pv,T15.sm,T32.cs,T32.f,T32.lg,T32.pv,T32.sm,T35.f,T35.lg,T35.pv,T35.sm,T37.cs,T37.f,T37.lg,T37.pv,T37.sm,T38.f,T38.lg,T38.pv,T38.sm,T39.cs,T39.f,T39.lg,T39.pv,T39.sm,T4.cs,T4.f,T4.lg,T4.pv,T4.sm,T44.f,T44.lg,T44.sm,T6.f,T6.lg,T6.sm,T8.cs,T8.f,T8.lg,T8.pv,T8.sm
T15.f,0,0.126737654,0.374846566,0.202459045,0.071970574,0.131373945,0.18771521,0.220580919,0.235180788,0.168083129,0.172436271,0.357610611,0.247363244,0.074164629,0.132358521,0.096001812,0.363450794,0.242932892,0.107399916,0.055588804,0.117377063,0.092520688,0.162090652,0.13851995,0.140469174,0.197441285,0.226518333,0.16535715,0.165824805,0.116272054,0.386287365,0.237881762,0.078993388,0.148007601,0.232273029,0.072226096,0.150769321,0.262886551,0.165320765,0.164987761,0.14057638,0.419573685,0.10910219
T15.lg,0.126737654,0,0.342696402,0.088702183,0.112138862,0.20431379,0.067115133,0.176484626,0.116489609,0.092954116,0.219855747,0.234062455,0.123340548,0.144695966,0.03546187,0.048981538,0.268466128,0.116767663,0.217935373,0.171829004,0.064717191,0.122259702,0.23170572,0.214632273,0.226269067,0.195657989,0.105263604,0.23826572,0.242054454,0.187667044,0.357106077,0.11441175,0.111029396,0.217599204,0.108807132,0.145032982,0.226399355,0.13713934,0.23811201,0.240617795,0.232346774,0.387330357,0.209437925
T15.pv,0.374846566,0.342696402,0,0.32472762,0.371089172,0.394642827,0.337112794,0.31122422,0.325177249,0.334624078,0.349095439,0.418379097,0.325540768,0.370995774,0.358186684,0.35690113,0.33143073,0.319894681,0.375550294,0.382197165,0.354542392,0.379425097,0.399660814,0.399070278,0.4070447,0.440213542,0.32996438,0.405241043,0.403753124,0.38510199,0.079461902,0.31625564,0.338654423,0.396563148,0.318176548,0.378166664,0.401444876,0.341512103,0.414673296,0.411733439,0.41406149,0.20784016,0.382226073
T15.sm,0.202459045,0.088702183,0.32472762,0,0.19944756,0.292785936,0.050851585,0.149063783,0.056908174,0.054704725,0.213667494,0.177456767,0.047961467,0.231596374,0.123129648,0.136358373,0.239756407,0.046878076,0.293404045,0.249033279,0.128426517,0.194201272,0.319522893,0.302674393,0.304099289,0.267496257,0.049834423,0.326099107,0.330099269,0.275695646,0.329696553,0.050283924,0.180737264,0.305765967,0.049998047,0.23291316,0.315077208,0.062309732,0.326406407,0.329295648,0.309785318,0.359917319,0.284890382
T32.cs,0.071970574,0.112138862,0.371089172,0.19944756,0,0.094332255,0.161603809,0.249778359,0.20887141,0.199623561,0.235082435,0.334250952,0.221581368,0.047308038,0.106820991,0.069758606,0.335604817,0.216156579,0.120701436,0.073536526,0.110383779,0.046110329,0.129035521,0.114665235,0.12809264,0.182502234,0.199320759,0.127696791,0.131692518,0.081898867,0.384789201,0.212031852,0.071388342,0.118524801,0.204600439,0.034240982,0.116382626,0.236898048,0.135721236,0.13278138,0.135124743,0.423572688,0.113815543
T32.f,0.131373945,0.20431379,0.394642827,0.292785936,0.094332255,0,0.254624573,0.343333398,0.30237939,0.292384595,0.266171112,0.42726299,0.314489909,0.101792485,0.200318115,0.163081077,0.428855698,0.308388612,0.084782721,0.078241052,0.203351806,0.136414842,0.035498517,0.023225079,0.033788727,0.264807558,0.292081794,0.034185977,0.037974711,0.031864689,0.408583757,0.305284791,0.158328174,0.024692297,0.297215928,0.061549532,0.022319613,0.329682459,0.041813873,0.038477466,0.041204285,0.447296847,0.060101516
T32.lg,0.18771521,0.067115133,0.337112794,0.050851585,0.161603809,0.254624573,0,0.192228175,0.055520787,0.07999859,0.243828442,0.199457232,0.069850742,0.206390353,0.074980725,0.093248318,0.261243576,0.067080049,0.281215678,0.231165095,0.131354124,0.178900826,0.28809005,0.272531137,0.288384959,0.245817973,0.052313823,0.288389063,0.284319668,0.23553384,0.345697395,0.057474701,0.177059992,0.277283831,0.055622419,0.19481666,0.274055568,0.088306338,0.296117052,0.287834946,0.290268711,0.389430181,0.270143362
T32.pv,0.220580919,0.176484626,0.31122422,0.149063783,0.249778359,0.343333398,0.192228175,0,0.191427652,0.120706952,0.206967583,0.214561978,0.173222979,0.271452025,0.203181132,0.202398809,0.176825458,0.18203911,0.296007775,0.269814053,0.150586769,0.209476096,0.364640863,0.352339884,0.352504182,0.252196521,0.194572441,0.374501225,0.372266314,0.320793221,0.305789879,0.184642589,0.191777404,0.356236801,0.187066073,0.282203493,0.36562467,0.145565077,0.377346643,0.37997225,0.355749318,0.291891598,0.310092334
T32.sm,0.235180788,0.116489609,0.325177249,0.056908174,0.20887141,0.30237939,0.055520787,0.191427652,0,0.077633477,0.243074887,0.180870331,0.020467579,0.25374862,0.128857731,0.140861762,0.25379483,0.015025239,0.32866296,0.278626859,0.180323945,0.228267196,0.337072965,0.319992901,0.336139775,0.295132191,0.042806459,0.33574733,0.334400808,0.284848057,0.332081252,0.019000345,0.226029812,0.326471843,0.007911947,0.242428923,0.322051285,0.05362979,0.343768372,0.335589762,0.337933126,0.389017851,0.319202198
T35.f,0.168083129,0.092954116,0.334624078,0.054704725,0.199623561,0.292384595,0.07999859,0.120706952,0.077633477,0,0.169549717,0.197175653,0.088995524,0.230125911,0.123493381,0.136466237,0.262605285,0.081191852,0.26657842,0.218401263,0.147953314,0.215104896,0.321008167,0.30104784,0.301331222,0.28679061,0.080873184,0.32478577,0.328374318,0.278821568,0.34733107,0.08246661,0.200256712,0.308227175,0.074220557,0.231352846,0.314470161,0.105985966,0.325889762,0.328688601,0.303984165,0.385974384,0.271074977
T35.lg,0.172436271,0.219855747,0.349095439,0.213667494,0.235082435,0.266171112,0.243828442,0.206967583,0.243074887,0.169549717,0,0.35296715,0.247958293,0.22331892,0.247676502,0.239345365,0.363506132,0.241772376,0.236001482,0.192187777,0.221663544,0.249309718,0.288674373,0.274953442,0.275117738,0.327349096,0.245313512,0.297811214,0.296835148,0.24282467,0.360401131,0.23897198,0.225671425,0.278868808,0.238050413,0.232571867,0.288256677,0.264948735,0.299676278,0.302475117,0.277770681,0.400540182,0.240160191
T35.pv,0.357610611,0.234062455,0.418379097,0.177456767,0.334250952,0.42726299,0.199457232,0.214561978,0.180870331,0.197175653,0.35296715,0,0.161215267,0.36481271,0.252642356,0.268267829,0.10332908,0.170632038,0.431299132,0.401279259,0.250565038,0.293921571,0.450723675,0.440907712,0.458681867,0.214915679,0.189639495,0.458249373,0.452957969,0.401690076,0.407237784,0.173131553,0.298375327,0.445799414,0.178922905,0.366060846,0.44689394,0.138845047,0.466175876,0.461241519,0.46305235,0.344349418,0.426484776
T35.sm,0.247363244,0.123340548,0.325540768,0.047961467,0.221581368,0.314489909,0.069850742,0.173222979,0.020467579,0.088995524,0.247958293,0.161215267,0,0.265422524,0.142275698,0.155490589,0.234627516,0.013167448,0.340345953,0.290252249,0.161162738,0.209137014,0.345443723,0.331646582,0.347835994,0.276044024,0.054072592,0.347257178,0.348921895,0.294518271,0.31533161,0.024043227,0.208583632,0.334728614,0.020084484,0.254467203,0.334013203,0.034894178,0.355467064,0.349894737,0.352222788,0.369858275,0.32926553
T37.cs,0.074164629,0.144695966,0.370995774,0.231596374,0.047308038,0.101792485,0.206390353,0.271452025,0.25374862,0.230125911,0.22331892,0.36481271,0.265422524,0,0.14886036,0.114339884,0.367499003,0.259118998,0.104519325,0.067718768,0.133902372,0.085154819,0.125441,0.105582549,0.122820316,0.204743329,0.23598744,0.131319741,0.12988521,0.083771919,0.384242431,0.250153757,0.084836615,0.117612761,0.248112295,0.049168937,0.123878051,0.279337538,0.135989634,0.138349598,0.12985242,0.41498396,0.097633433
T37.f,0.132358521,0.03546187,0.358186684,0.123129648,0.106820991,0.200318115,0.074980725,0.203181132,0.128857731,0.123493381,0.247676502,0.252642356,0.142275698,0.14886036,0,0.037849122,0.282859136,0.138992875,0.224460419,0.1765465,0.07466619,0.124772567,0.231471084,0.215486701,0.233922176,0.188981829,0.121672301,0.231852108,0.225531296,0.177494798,0.365911374,0.127864779,0.119575465,0.222634584,0.128022346,0.139116666,0.21930946,0.159608784,0.241550772,0.23233909,0.234667142,0.41046833,0.212988876
T37.lg,0.096001812,0.048981538,0.35690113,0.136358373,0.069758606,0.163081077,0.093248318,0.202398809,0.140861762,0.136466237,0.239345365,0.268267829,0.155490589,0.114339884,0.037849122,0,0.285752755,0.152685177,0.189262024,0.139566753,0.064865791,0.088869663,0.197685124,0.180171236,0.196742243,0.156752578,0.136163435,0.196346394,0.194070296,0.144276645,0.365577716,0.143321697,0.086628876,0.187174404,0.141129037,0.102890582,0.181888626,0.173835616,0.204370839,0.195159157,0.197502521,0.409218516,0.179284725
T37.pv,0.363450794,0.268466128,0.33143073,0.239756407,0.335604817,0.428855698,0.261243576,0.176825458,0.25379483,0.262605285,0.363506132,0.10332908,0.234627516,0.367499003,0.282859136,0.285752755,0,0.243868294,0.427348329,0.407340236,0.254132356,0.297614517,0.454264469,0.446703769,0.462275963,0.219134852,0.252699149,0.45833414,0.45699036,0.405972175,0.327131866,0.242550098,0.290584038,0.449057147,0.247392898,0.367657771,0.451003243,0.206458201,0.46990456,0.466875688,0.469219052,0.253510272,0.430654973
T37.sm,0.242932892,0.116767663,0.319894681,0.046878076,0.216156579,0.308388612,0.067080049,0.18203911,0.015025239,0.081191852,0.241772376,0.170632038,0.013167448,0.259118998,0.138992875,0.152685177,0.243868294,0,0.334678704,0.287306801,0.170122901,0.217249578,0.339747279,0.327662576,0.341269719,0.287700457,0.047878736,0.34243292,0.345498347,0.291094723,0.326894697,0.021043811,0.215004205,0.328977217,0.011635278,0.24915782,0.330566556,0.043384258,0.349301955,0.345965548,0.348692367,0.378757266,0.326165043
T38.f,0.107399916,0.217935373,0.375550294,0.293404045,0.120701436,0.084782721,0.281215678,0.296007775,0.32866296,0.26657842,0.236001482,0.431299132,0.340345953,0.104519325,0.224460419,0.189262024,0.427348329,0.334678704,0,0.056382128,0.196803846,0.158742051,0.084189242,0.077325573,0.068320268,0.282451058,0.315413125,0.090906648,0.086014378,0.085073495,0.384646459,0.32684721,0.143326366,0.08075488,0.323087291,0.08659945,0.09022104,0.354087236,0.092775311,0.096087343,0.070793794,0.422799193,0.030272722
T38.lg,0.055588804,0.171829004,0.382197165,0.249033279,0.073536526,0.078241052,0.231165095,0.269814053,0.278626859,0.218401263,0.192187777,0.401279259,0.290252249,0.067718768,0.1765465,0.139566753,0.407340236,0.287306801,0.056382128,0,0.161824584,0.111451998,0.107966697,0.085139972,0.087187679,0.240719125,0.270006952,0.111195964,0.112124491,0.068570264,0.393324909,0.280711595,0.123129888,0.094147965,0.27580579,0.066281383,0.097707241,0.307031748,0.112035484,0.111925681,0.088089041,0.427046908,0.059103206
T38.pv,0.117377063,0.064717191,0.354542392,0.128426517,0.110383779,0.203351806,0.131354124,0.150586769,0.180323945,0.147953314,0.221663544,0.250565038,0.161162738,0.133902372,0.07466619,0.064865791,0.254132356,0.170122901,0.196803846,0.161824584,0,0.08052102,0.224091976,0.211626588,0.218320958,0.148488812,0.167029602,0.234003061,0.231870999,0.179759913,0.34723774,0.168806447,0.074457552,0.2157258,0.173092215,0.142114959,0.225392864,0.161597222,0.236753477,0.239611304,0.223970703,0.365916223,0.190559949
