bird	samp	PCoA1	PCoA2
T15	feces	0.375945868	-0.027442183
T15	large	-0.284971793	0.067253649
T15	proventriculus	-0.271912728	0.062510963
T15	small	-0.271344223	0.061158679
T32	cloaca	-0.047414064	-0.378405353
T32	feces	-0.060768818	-0.405072307
T32	large	0.114155809	0.263921357
T32	proventriculus	-0.275451102	0.095251194
T32	small	0.332403749	-0.060906813
T35	feces	-0.066186053	-0.361305338
T35	large	-0.266493614	0.058602139
T35	proventriculus	0.066994851	0.258874877
T35	small	0.086372512	0.244528199
T37	cloaca	-0.028523363	-0.218059325
T37	feces	0.151369305	0.265180936
T37	large	0.407669013	-0.045485121
T37	proventriculus	-0.239607708	0.124112203
T37	small	-0.253444593	0.109128413
T38	feces	-0.073833443	-0.305628011
T38	large	0.333968385	-0.06524729
T38	proventriculus	-0.266847987	0.109932577
T38	small	-0.288785799	0.077277247
T39	cloaca	-0.276940359	0.073957695
T39	feces	0.379936657	0.005522304
T39	large	-0.062673475	-0.404661219
T39	proventriculus	0.136057396	0.296518354
T39	small	-0.009299573	-0.270472795
T4	cloaca	-0.078137108	-0.318828866
T4	feces	0.395314698	-0.003378477
T4	large	0.182867217	0.28728649
T4	proventriculus	0.102815762	0.283539064
T4	small	0.127038665	0.286364326
T44	feces	-0.240436915	0.094950027
T44	large	-0.267655631	0.083652779
T44	small	-0.270393301	0.052606617
T6	feces	-0.045520204	-0.369302127
T6	large	0.443040345	-0.038752389
T6	small	-0.258656263	0.13759885
T8	cloaca	-0.071242706	-0.385940992
T8	feces	0.402060974	-0.058914949
T8	large	0.370001269	-0.063066541
T8	proventriculus	-0.251755587	0.139335015
T8	small	0.120283934	0.241806141
