,T15.f,T15.lg,T15.pv,T15.sm,T32.cs,T32.f,T32.lg,T32.pv,T32.sm,T35.f,T35.lg,T35.pv,T35.sm,T37.cs,T37.f,T37.lg,T37.pv,T37.sm,T38.f,T38.lg,T38.pv,T38.sm,T39.cs,T39.f,T39.lg,T39.pv,T39.sm,T4.cs,T4.f,T4.lg,T4.pv,T4.sm,T44.f,T44.lg,T44.sm,T6.f,T6.lg,T6.sm,T8.cs,T8.f,T8.lg,T8.pv,T8.sm
T15.f,0,0.71120371,0.717338961,0.710992831,0.695583878,0.617718418,0.53334842,0.760952908,0.375254341,0.667441475,0.727754613,0.579908244,0.522559802,0.727672513,0.5217608,0.352551197,0.756685058,0.672166154,0.69560708,0.34630487,0.773112345,0.720357036,0.749517079,0.358751051,0.613053028,0.601113837,0.634147422,0.699684787,0.31143401,0.492413679,0.589109118,0.551596172,0.69974262,0.750504819,0.728231559,0.700847417,0.300872761,0.795626188,0.64151412,0.245488696,0.300197824,0.821422214,0.525630465
T15.lg,0.71120371,0,0.148987607,0.141740919,0.603075601,0.486615639,0.466399044,0.282241098,0.708985029,0.569748914,0.108206158,0.591243309,0.462161935,0.739465984,0.568599826,0.746836479,0.485642394,0.134641138,0.623697614,0.694592789,0.406911642,0.099318554,0.245303866,0.749651133,0.474118242,0.612165035,0.624432965,0.628248291,0.739263773,0.540477495,0.596611384,0.558453301,0.223550593,0.233799186,0.110923277,0.609049114,0.728317427,0.47969274,0.525334072,0.679785024,0.700332714,0.532309438,0.517580655
T15.pv,0.717338961,0.148987607,0,0.021038457,0.512970927,0.549353711,0.435730904,0.215631244,0.64946589,0.536779763,0.096629167,0.548941816,0.406295422,0.682533182,0.517968238,0.686387792,0.424521003,0.237684932,0.556144453,0.660727153,0.327677195,0.178807488,0.179488851,0.724009297,0.554352821,0.581815469,0.575248622,0.544928273,0.70158308,0.506533241,0.543876756,0.501121013,0.157352914,0.19416124,0.053022694,0.519305241,0.750540489,0.472522372,0.452894592,0.713458211,0.649329596,0.490380583,0.469580055
T15.sm,0.710992831,0.141740919,0.021038457,0,0.51527683,0.546623311,0.434379183,0.213285203,0.650165117,0.529614284,0.089650011,0.546863577,0.400742509,0.686994766,0.523056493,0.688359641,0.428036448,0.222663635,0.553432249,0.655370092,0.32619073,0.16275402,0.173215492,0.718331333,0.543737217,0.582832993,0.577001488,0.552855637,0.703447007,0.509615459,0.548814637,0.502465206,0.156245647,0.201824478,0.039028031,0.521947299,0.752309305,0.467929721,0.450067488,0.708065363,0.644015384,0.488763191,0.467964749
T32.cs,0.695583878,0.603075601,0.512970927,0.51527683,0,0.298601865,0.676456714,0.586482638,0.56312403,0.337168705,0.53897338,0.765768859,0.694574415,0.63056743,0.752106557,0.537695776,0.702690774,0.643162589,0.407657515,0.591926057,0.666438572,0.608758242,0.580389861,0.683984622,0.32626528,0.770054152,0.435788446,0.394040689,0.656580689,0.726713159,0.7438093,0.716102141,0.56424753,0.594592296,0.501241404,0.087060727,0.635765847,0.752766895,0.146240369,0.65795883,0.574221377,0.737480913,0.728329028
T32.f,0.617718418,0.486615639,0.549353711,0.546623311,0.298601865,0,0.732434881,0.617341613,0.595624376,0.325695775,0.537596234,0.783795678,0.715375961,0.658704929,0.771221499,0.648863935,0.725303024,0.545459136,0.451436534,0.592213475,0.691964722,0.524815083,0.608383271,0.686214954,0.049276259,0.809337574,0.430000033,0.438742386,0.65835784,0.774008892,0.801674806,0.780434372,0.597144272,0.594952898,0.533615341,0.332123553,0.619993543,0.728302746,0.207069643,0.564800171,0.602582532,0.757758452,0.749288435
T32.lg,0.53334842,0.466399044,0.435730904,0.434379183,0.676456714,0.732434881,0,0.472985543,0.341764742,0.693046359,0.401620007,0.409765236,0.114731069,0.783272183,0.354445965,0.427668946,0.5873079,0.504418282,0.719977992,0.358976188,0.549041706,0.478048569,0.464734433,0.520036626,0.739466337,0.290032054,0.714933766,0.716966029,0.488955157,0.240377162,0.354631796,0.186462164,0.45424394,0.452220095,0.425491992,0.661751441,0.468935473,0.628952419,0.694489385,0.491665783,0.454623425,0.63757569,0.29360914
T32.pv,0.760952908,0.282241098,0.215631244,0.213285203,0.586482638,0.617341613,0.472985543,0,0.665593127,0.573923184,0.198618676,0.512673536,0.43802721,0.680682931,0.531425614,0.718922174,0.423221477,0.340965317,0.593663119,0.681076417,0.323040934,0.243896677,0.202501137,0.732134689,0.622181481,0.564492099,0.614892898,0.540900038,0.718978068,0.541736372,0.565453628,0.536283397,0.247974585,0.287026603,0.20191818,0.572226979,0.778548111,0.516697586,0.537381686,0.742304667,0.688094293,0.489050979,0.503989891
T32.sm,0.375254341,0.708985029,0.64946589,0.650165117,0.56312403,0.595624376,0.341764742,0.665593127,0,0.55696863,0.644704372,0.559018531,0.328597426,0.693022756,0.515155368,0.262839748,0.737816211,0.727588248,0.579148678,0.116582249,0.713533335,0.708303945,0.663407057,0.373956786,0.606333505,0.521060398,0.59673316,0.573351433,0.323597201,0.503918004,0.561416864,0.433139527,0.654272414,0.673812339,0.644375585,0.548031603,0.346062852,0.787265253,0.517008824,0.303023821,0.228446455,0.773660468,0.47032943
T35.f,0.667441475,0.569748914,0.536779763,0.529614284,0.337168705,0.325695775,0.693046359,0.573923184,0.55696863,0,0.476270568,0.748345637,0.673409529,0.579706794,0.735875801,0.631281274,0.663394399,0.616670571,0.345509564,0.533381283,0.614097421,0.583649672,0.476391303,0.607192202,0.308393701,0.769125603,0.383741254,0.392136968,0.613071364,0.732419388,0.763576774,0.72642225,0.538595053,0.518256778,0.512709446,0.290932913,0.681910078,0.727378297,0.221782122,0.625081058,0.573630061,0.714827035,0.687889806
