bird	samp	PCoA1	PCoA2
T15	feces	0.059799459	0.034518324
T15	large	-0.04548085	0.060619303
T15	proventriculus	-0.132925347	-0.263863731
T15	small	-0.13174164	0.050008208
T32	cloaca	0.057440384	0.045212835
T32	feces	0.147199351	3.29E-05
T32	large	-0.095815538	0.068419702
T32	proventriculus	-0.162018996	-0.017655996
T32	small	-0.143957206	0.062621794
T35	feces	-0.119112285	0.061325725
T35	large	-0.025229947	-0.008426628
T35	proventriculus	-0.264512741	0.079368298
T35	small	-0.161100411	0.052888241
T37	cloaca	0.080638711	0.016950647
T37	feces	-0.033598327	0.072861467
T37	large	-0.007692418	0.064152206
T37	proventriculus	-0.2622383	-0.040405763
T37	small	-0.153966995	0.056778602
T38	feces	0.143280135	-0.041898248
T38	large	0.110079908	0.00736666
T38	proventriculus	-0.032492985	0.036980366
T38	small	0.029058265	0.032329787
T39	cloaca	0.171857492	-0.024636563
T39	feces	0.159891929	-0.011733917
T39	large	0.174384015	-0.016019393
T39	proventriculus	-0.032795141	0.046302029
T39	small	-0.132131334	0.064647088
T4	cloaca	0.17685072	-0.018523925
T4	feces	0.175068515	-0.023217673
T4	large	0.125440434	0.002775648
T4	proventriculus	-0.144682625	-0.266069041
T4	small	-0.147289498	0.053907263
T44	feces	0.015012894	-0.000882674
T44	large	0.163968665	-0.01831933
T44	small	-0.142030738	0.058043332
T6	feces	0.089420675	0.030448419
T6	large	0.166951251	-0.011164225
T6	small	-0.180296395	0.053195892
T8	cloaca	0.184856141	-0.016356066
T8	feces	0.181379112	-0.015059996
T8	large	0.179681291	-0.013987094
T8	proventriculus	-0.18589717	-0.277320558
T8	small	0.144747537	-0.026213896
